Department,course_code,course_name,credits,distribution,prerequisites,overlap_with,syllabus
Materials Science and Metallurgical Engineering,MML302,Iron making And Steelmaking,3,3-0-0,None,NA,Historical Development: Introduction to history of iron making in India and World; Raw Materials: Iron ore types and properties: Strength; Reducibility; Swelling and Softening tests etc. Prepared Ore Feed: Pellet; sinter and Briquettes. Reductant types and properties: Role of coal & Coke; Coke reactivity index (CRI) and strength after reaction (CSR). Fluxes: Types; properties and its role; Reduction Mechanism of iron ore: Reduction of iron ore by CO; H2. Thermodynamic and kinetic requirements; Blast Furnace process of Iron Making: Construction; Refractories; charging; burden distribution; thermal and chemical profile. Reactions in shaft; bosh and hearth. Control of hot metal composition and temperature. Modern Practices: High top pressure; fuel injection (coal dust injection); oxygen enrichment; humidification and use of pre-reduced burden. Blast furnace operations; problems with remedies. Gas cleaning. Hot blast stove; Pig casting; Slag granulation Instrumentation and automation; Alternative Methods of Iron Making: Need and classification; Coal based rotary kiln and Gas based shaft method of DRI production. DRI storage and passivation; Principles of smelting reduction; COREX process; Scope of renewable sources of energy in Iron making and iron making industries in India.
Materials Science and Metallurgical Engineering,MMP302,Industrial Exposure to Metals Processing,1,0-0-2,MEL205,NA,Introduction to industrial systems/units involved in metal processing; Systematic study of metal processing chain including Extraction; alloying; solidification; heat treatment and preparation of primary products in the industry environment; Understanding the working principles of essential elements / units like blast furnace; coke oven; sintering plant; ESP; boiler; turbines; etc; The course will be conducted in form of Industrial visits to relevant plant / training labs and will be evaluated based on corresponding viva-voce and reports.
Materials Science and Metallurgical Engineering,MML303,Polymeric Materials and Engineering,3,3-0-0,None,NA,Introduction: Introduction to “soft” materials. Brief chemical structure/bonding/organic chemistry review. What is a polymer; Fundamental overarching concepts of polymer chemistry and material properties; nomenclature; Polymer Synthesis: Addition polymerization; Step-growth polymerization; condensation reactions; radical polymerization; ionic polymerization; polymerization mechanisms and statistics; Polymer propoerties: Structure; properties and applications of different polymers; Conducting polymers; stimuli responsive polymers and biopolymers.
Materials Science and Metallurgical Engineering,MMP303,Metallurgical/Metallography Lab,1.5,0-0-3,None,MMP501 (50%),Sample preparation for optical microscopy – Ferrous alloy; Aluminium alloy; Copper alloy; Nickel alloy; Energy dispersive spectroscopy studies to understand the material composition; Etching and microstructure observation using various etchants.
Materials Science and Metallurgical Engineering,MML351,Technologies of Thin-film Fabrication,3,3-0-0,None,MEL253 (10%),Brief introduction to thin films. Introduction to vacuum science and Technology; pumping systems; and pressure measurement equipment; Physics of thin film deposition; adsorption; surface deposition; nucleation; growth and structure development; surface structure; role of surfaces; epitaxial growth; lattice mismatch; strain; and growth modes; Physical techniques for thin film deposition: Thermal evaporation; Knudsen cell; Sputtering; E-beam evaporation; spin-coating. Electrospinning; Chemical techniques for thin film deposition: Atomic layer deposition; Chemical vapor deposition (CVD); Other techniques: dry and wet etching; sol-gel; Electrodeposition; Spray pyrolysis; and Langmuir-Blodgett technique; etc.
Materials Science and Metallurgical Engineering,MML401,Environmental Degradation of Materials,3,3-0-0,None,NA,Introduction: Corrosion principle – electrochemical and environmental aspects; Forms of corrosion: Mechanisms – characteristics – examples; Testing: Types of evaluation methods – sample preparation – results interpretation; Prevention techniques: Materials – design modification – cathodic-anodic protection – coating.
Materials Science and Metallurgical Engineering,MMP401,Thin Film Fabrication and Characterization Lab,1.5,0-0-3,None,NA,Fabrication of Thin films: Metal oxide thin films using e-beam; sputtering; polymer thin film using spincoating techniques; Metal thin films using thermal deposition and sputtering techniques; Characterization of thin films; Thickness measurement using profilometer; Morphology and elemental information using SEM/EDAX; Conductivity measurement using probe method; Surface roughness measurement using AFM; Structural properties using XRD.
Materials Science and Metallurgical Engineering,MML501,Characterization and Testing of Materials,3,3-0-0,None,MML252 (50%),Introduction: Scope and methods used for materials characterization. Mechanical properties of materials. Microstructural components of materials; Metallographic preparation methods: slicing; mounting; mechanical grinding; polishing – mechanical; electrical. Ion-based. Special technique for TEM preparation; Optical Microscopy: Optical microscopy techniques including polarised light and phase contrast; Quantitative microscopy and its applications; Scanning Electron Microscopy: Working principle of SEM; image formation methods in SEM; voltage contrast; Energy Dispersive Spectroscopy (EDS) and Wavelength Dispersive Spectroscopy (WDS); electron back scattered diffraction; Transmission Electron Microscopy: Working principle of TEM; formation of image and selected area diffraction pattern. High resolution electron microscopy. Convergent Beam Electron Diffraction (CBED); Electron Energy Loss Spectroscopy (EELS) and Scanning Transmission Electron Microscopy (STEM); X-ray Diffraction: X-ray diffraction techniques; factors affecting diffracted intensity; application of X-ray diffraction to phase identification; order-disorder transformation; texture determination; dislocation density; Mechanical characterization: Indentation Hardness; Monotonic tensile and compression loading; Fracture toughness; Time and rate dependent deformation; fatigue loading. Tribological and wear testing.
Materials Science and Metallurgical Engineering,MMP501,Material Characterization Laboratory,2,0-0-4,None,MMP303 (20%),Optical Microscopy: Metallographic sample preparation through sampling; mounting; grinding; polishing and etching. One Ferrous Sample and one non-ferrous sample. quantitative metallography volume fraction; grain size determination; X-ray Diffraction: Obtaining and Analysis of diffraction patterns for unknown material. Indexing the patterns; finding out the system and determination of lattice parameters. Determination of strain and crystallite size; Mechanical testing: Micro-indentation hardness; tensile and compressions tests. Analysing the results – obtaining YS; UTS; Ductility; etc. Obtaining true-stress strain data; Scanning Electron Microscopy: SEM observation of (i) Etched sample; (ii) Chemical Analysis by EDX; (iii) Fracture surface of the samples; operating conditions for various sample conditions to be noted and studied; Transmission Electron Microscopy: TEM sample preparation; TEM observation of thin foil of metallic samples - BF;DF; and selected area diffraction (SAED) pattern; Indexing of the SAED pattern and the determination of zone axis. The operating conditions (voltage; current; magnification; camera length etc.) to be noted and studied.
Materials Science and Metallurgical Engineering,MML551,Thermodynamics and Phase Diagram,2,2-0-0,None,NA,Thermodynamic fundamentals: principles and equations for closed and open systems; criteria for equilibrium of multicomponent multiphase systems. Stable; metastable; and unstable equilibria; stability function for binary and multicomponent phases. Principle of irreversible thermodynamics; Driving force and fluxes for diffusion; laws of diffusion and their application. Kinetics: Absolute reaction rate theory and its applications to simple metallurgical reactions. Solutions: Thermodynamic formalisms for binary and multicomponent metallic solutions; compounds and ordered phases. Gibbs energy composition diagrams. Binary Phase Diagrams and their Computation: Thermodynamics of phase equilibria: Computation of phase diagrams of unary and simple binary systems; Isomorphous systems; congruent minima and maxima; iso-Gibbs energy curves; miscibility gaps and spinodal; eutectic and peritectic type phase diagrams; phase diagrams with ordered phases; ordering spinodal; metastable extensions of phase boundaries; slopes and curvatures of phase boundaries and their consequences on the topologies of phase diagrams; retrograde solubility. Evolution of microstructures during equilibrium cooling of alloys in different types of phase diagrams. Ternary phase diagrams: Representation; lever rule; two-; three-; and four-phase equilibria; isomorphous systems; congruent minima and maxima; miscibility gaps; eutectic; peritectic and quasi peritectic phase diagrams. Interpretation of ternary phase diagrams. Scheil’s scheme of representing reactions taking place in ternary alloys during equilibrium cooling.
Materials Science and Metallurgical Engineering,MML552,Fundamentals of Crystallography,1,1-0-0,None,MML202 (40%),Symmetry: Introduction; molecules and crystals; elements of symmetry; Point groups; chirality; Translation; plan groups; crystal lattice; bravais lattice; elements of periodic symmetry; Space Groups; Methods: X-rays; neutrons; diffraction principles; reciprocal space; Structure factor; Fourier synthesis; phase problem; Information obtained by diffraction; Diffraction methods: single crystals and polycrystals (powders and thin-film); Resolution of structures; identification of known and unknown compounds; Refinement of crystalline structures; Presentation of modern software (APEX4; Olex2; Fullprof; Shelx).
Materials Science and Metallurgical Engineering,MML553,Material Synthesis and Processing,2,2-0-0,None,NA,Introduction: Definition of synthesis; historical examples of key synthetic discoveries; prospects; Basics of nucleation and growth processes; ceramic synthesis; Scale-up of synthetic processes; SelfAssembly: Supramolecular self-assembly; Gels; 3D self-assembly; Self-assembling monolayers; SolGel Reactions: Synthesis from metal alkoxides; Gelation and calcination; hydrothermal methods; Polymer synthesis: Polymer Design and Synthesis; Reaction Types and Processes; Free Radical Polymerization; Controlled Radical Polymerization; Ionic Polymerization; Homogeneous and Heterogeneous Polymerization; Biomaterials Systems; Polymer Functionalization and Modification: Motivations; Synthesis of Nanomaterials: Solid-liquid interface interactions Influence of reaction conditions on morphological properties of materials; Quantum dots; Nanowires; Carbon nanotubes; combustion methods; Supramolecular Nanostructures; intercalation; and mild methods; Dendrimers; Colloids; Vapor Phase Synthesis: Gas phase reactions; solid substrate-vapor interactions in CVD; PVD. Effect of vapor deposition conditions on growth and morphology thin films; molecular beam epitaxy; Composite Synthesis: Classification of composite materials; Metal matrix systems; Ceramic matrix systems; Polymer matrix systems.
Materials Science and Metallurgical Engineering,MMP553,Material Fabrication Laboratory,2,0-0-4,None,NA,Developing non-ferrous alloys: a) Sample preparation optical microscopy up to polishing b) Etching the sample and optical microscopy; Polymer synthesis using Chemical route and determination of molecular weight; Synthesis of Ceramic material (BaTiO3); Elemental analysis using spectroscopy and phase analysis using diffraction; Analysis of hardness; strength; and ductility; Study of Grain and grain boundary on above-prepared alloys; polymers; and ceramic materials.
Materials Science and Metallurgical Engineering,MML554,Computational Methods in Materials Science,3,3-0-0,None,NA,Revisiting some numerical techniques – numerical differentiation and integration; curve fitting; matrix diagonalization; matrix inversion; Group theory: Symmetry elements; symmetry operations; Great Orthogonality theorem and character tables; Applications to solid structure; Quantum-Mechanical calculations: Revisiting basics of Quantum Mechanics; Revisiting Hartree-Fock Theory and its solution for single molecule; Revisiting Tight binding model and simple band structure calculations; Introduction to Density functional theory (DFT). Basics of Molecular dynamics (MD): Force field – different interactions and respective potentials; MD in different ensembles; MD algorithm; Introductory Monte Carlo techniques used in material science; Basic introduction to Genetic Algorithm used in material science. 
